set,label,n,n_with_af,frac_with_af
all_variants,all,168927,35687,0.21125693346830288
all_variants,pathogenic,78141,10714,0.13711111964269718
all_variants,benign,90786,24973,0.2750754521622277
train_A,all,135141,28525,0.21107583930857401
train_A,pathogenic,62513,8581,0.1372674483707389
train_A,benign,72628,19944,0.2746048356005948
test_A,all,33786,7162,0.21198129402711183
test_A,pathogenic,15628,2133,0.13648579472741235
test_A,benign,18158,5029,0.27695781473730585
train_B,all,135147,28948,0.21419639355664571
train_B,pathogenic,62525,8844,0.14144742103158736
train_B,benign,72622,20104,0.2768307124562805
test_B,all,33780,6739,0.19949674363528716
test_B,pathogenic,15616,1870,0.11974897540983606
test_B,benign,18164,4869,0.26805769654261175
train_C,all,135391,21518,0.1589322776255438
train_C,pathogenic,62728,4427,0.07057454406325724
train_C,benign,72663,17091,0.23520911605631478
test_C,all,33536,14169,0.4225011927480916
test_C,pathogenic,15413,6287,0.40790242003503535
test_C,benign,18123,7882,0.43491695635380456
