set,bucket,n_pathogenic,n_benign
train_A,missing,53932,52684
train_A,0,60,79
train_A,"(0,1e-4)",5628,8961
train_A,"[1e-4,1e-3)",2447,4074
train_A,"[1e-3,1e-2)",414,3160
train_A,"[1e-2,5e-2)",28,1471
train_A,>=5e-2,4,2199
test_A,missing,13495,13129
test_A,0,14,16
test_A,"(0,1e-4)",1386,2209
test_A,"[1e-4,1e-3)",636,1034
test_A,"[1e-3,1e-2)",89,815
test_A,"[1e-2,5e-2)",6,389
test_A,>=5e-2,2,566
train_B,missing,53681,52518
train_B,0,62,74
train_B,"(0,1e-4)",5726,8996
train_B,"[1e-4,1e-3)",2564,4104
train_B,"[1e-3,1e-2)",454,3132
train_B,"[1e-2,5e-2)",33,1530
train_B,>=5e-2,5,2268
test_B,missing,13746,13295
test_B,0,12,21
test_B,"(0,1e-4)",1288,2174
test_B,"[1e-4,1e-3)",519,1004
test_B,"[1e-3,1e-2)",49,843
test_B,"[1e-2,5e-2)",1,330
test_B,>=5e-2,1,497
train_C,missing,58301,55572
train_C,0,30,65
train_C,"(0,1e-4)",3302,7683
train_C,"[1e-4,1e-3)",953,2799
train_C,"[1e-3,1e-2)",126,2711
train_C,"[1e-2,5e-2)",14,1488
train_C,>=5e-2,2,2345
test_C,missing,9126,10241
test_C,0,44,30
test_C,"(0,1e-4)",3712,3487
test_C,"[1e-4,1e-3)",2130,2309
test_C,"[1e-3,1e-2)",377,1264
test_C,"[1e-2,5e-2)",20,372
test_C,>=5e-2,4,420
