run,split,variant,full_auroc,matched_mean,matched_p2_5,matched_p97_5,delta_matched_minus_full,matched_n
M3,A,all_eligible,0.6903291675609253,0.689307640525003,0.6881176531467647,0.6903214945388224,-0.0010215270359222872,30480
M3,A,af_known_only,0.6903291675609253,0.5947285731885114,0.5884404983393251,0.6010050442955075,-0.09560059437241397,4222
M4,A,all_eligible,0.576244223098371,0.5,0.5,0.5,-0.07624422309837098,30480
M4,A,af_known_only,0.576244223098371,0.5,0.5,0.5,-0.07624422309837098,4222
NT,A,all_eligible,0.9343105042214976,0.9355690454262855,0.9351243705803384,0.9359175952153987,0.0012585412047878552,30480
NT,A,af_known_only,0.9343105042214976,0.8166893004341473,0.8111050628982966,0.821234741617581,-0.1176212037873503,4222
DNABERT-2 seed 42,A,all_eligible,0.9136645922590638,0.9144542507328071,0.9139082503112923,0.9150454459294335,0.0007896584737432377,30480
DNABERT-2 seed 42,A,af_known_only,0.9136645922590638,0.7670905462151402,0.7631352269057817,0.77143357996428,-0.14657404604392366,4222
M3,B,all_eligible,0.5,0.5,0.5,0.5,0.0,30204
M3,B,af_known_only,0.5,0.5,0.5,0.5,0.0,3614
M4,B,all_eligible,0.5795811728229321,0.5,0.5,0.5,-0.07958117282293209,30204
M4,B,af_known_only,0.5795811728229321,0.5,0.5,0.5,-0.07958117282293209,3614
NT,B,all_eligible,0.9015744330571008,0.9056552130937604,0.9050737016057551,0.9062188189485559,0.00408078003665957,30204
NT,B,af_known_only,0.9015744330571008,0.7695247789678522,0.7630501915780389,0.7749374358586436,-0.13204965408924862,3614
DNABERT-2 seed 42,B,all_eligible,0.6739668968506657,0.6675834247217803,0.666566876318595,0.6688660778625183,-0.006383472128885348,30204
DNABERT-2 seed 42,B,af_known_only,0.6739668968506657,0.6355434332879362,0.627201486012246,0.6431100583753337,-0.03842346356272952,3614
DNABERT-2 seed 1,B,all_eligible,0.6795601313262407,0.6702551698027419,0.6691249144935087,0.6713872344436238,-0.0093049615234988,30204
DNABERT-2 seed 1,B,af_known_only,0.6795601313262407,0.651515210631716,0.6428036958284039,0.6597971931083969,-0.02804492069452469,3614
DNABERT-2 seed 2,B,all_eligible,0.6784897539432394,0.6708313680629953,0.6696307836702039,0.6720031178398754,-0.007658385880244145,30204
DNABERT-2 seed 2,B,af_known_only,0.6784897539432394,0.6348777995185053,0.6259823523412763,0.6414424520151449,-0.04361195442473409,3614
DNABERT-2 seed 3,B,all_eligible,0.6640002946035167,0.6556506065118383,0.6543892662416645,0.6568318175996215,-0.008349688091678464,30204
DNABERT-2 seed 3,B,af_known_only,0.6640002946035167,0.6310378044675918,0.6216240476606838,0.6394206153956405,-0.03296249013592489,3614
M3,C,all_eligible,0.6043667005968095,0.6017214507047676,0.5999380209098815,0.6029791054281796,-0.0026452498920419565,30240
M3,C,af_known_only,0.6043667005968095,0.5784151513319571,0.5759682998675464,0.5809554709586686,-0.025951549264852436,11988
M4,C,all_eligible,0.5336698359203702,0.5,0.5,0.5,-0.033669835920370206,30240
M4,C,af_known_only,0.5336698359203702,0.5,0.5,0.5,-0.033669835920370206,11988
NT,C,all_eligible,0.851860114287341,0.8566874460663894,0.8559618691451631,0.8576205990851845,0.004827331779048372,30240
NT,C,af_known_only,0.851860114287341,0.7925839287457849,0.7907644252388302,0.7944522169260797,-0.059276185541556115,11988
DNABERT-2 seed 42,C,all_eligible,0.7772395472206672,0.7776623570300033,0.776593299569056,0.7789164684070645,0.0004228098093360666,30240
DNABERT-2 seed 42,C,af_known_only,0.7772395472206672,0.7312358447592292,0.7292778082832025,0.7329388322256191,-0.046003702461438034,11988
DNABERT-2 mean over seeds,B,all_eligible,0.6740042691809156,0.6660801422748389,0.664927960180993,0.6672720619364096,-0.00792412690607669,30204
DNABERT-2 min over seeds,B,all_eligible,0.6640002946035167,0.6556506065118383,0.6543892662416645,0.6568318175996215,-0.0093049615234988,30204
DNABERT-2 max over seeds,B,all_eligible,0.6795601313262407,0.6708313680629953,0.6696307836702039,0.6720031178398754,-0.006383472128885348,30204
DNABERT-2 mean over seeds,B,af_known_only,0.6740042691809156,0.6382435619764374,0.6294028954606525,0.645942579723629,-0.0357607072044783,3614
DNABERT-2 min over seeds,B,af_known_only,0.6640002946035167,0.6310378044675918,0.6216240476606838,0.6394206153956405,-0.04361195442473409,3614
DNABERT-2 max over seeds,B,af_known_only,0.6795601313262407,0.651515210631716,0.6428036958284039,0.6597971931083969,-0.02804492069452469,3614
