run,split,variant,resample,matched_n,auroc
M3,A,all_eligible,0,30480,0.6892107233520023
M3,A,all_eligible,1,30480,0.6895233051577214
M3,A,all_eligible,2,30480,0.687781398757242
M3,A,all_eligible,3,30480,0.6895541825111428
M3,A,all_eligible,4,30480,0.688691700508401
M3,A,all_eligible,5,30480,0.6892220448329786
M3,A,all_eligible,6,30480,0.6894638603860541
M3,A,all_eligible,7,30480,0.6882737723114335
M3,A,all_eligible,8,30480,0.6897161040155414
M3,A,all_eligible,9,30480,0.6888807341503572
M3,A,all_eligible,10,30480,0.6885390488836534
M3,A,all_eligible,11,30480,0.6897486992890652
M3,A,all_eligible,12,30480,0.6900714056289223
M3,A,all_eligible,13,30480,0.688881556513113
M3,A,all_eligible,14,30480,0.688908160594099
M3,A,all_eligible,15,30480,0.6896080171327009
M3,A,all_eligible,16,30480,0.6881759843380798
M3,A,all_eligible,17,30480,0.6887843174991906
M3,A,all_eligible,18,30480,0.6894940875992863
M3,A,all_eligible,19,30480,0.690165391789117
M3,A,all_eligible,20,30480,0.6886716451905126
M3,A,all_eligible,21,30480,0.6898237151335413
M3,A,all_eligible,22,30480,0.689164453606685
M3,A,all_eligible,23,30480,0.690245703477518
M3,A,all_eligible,24,30480,0.6891958411694601
M3,A,all_eligible,25,30480,0.6892706847913695
M3,A,all_eligible,26,30480,0.689943351692259
M3,A,all_eligible,27,30480,0.6898739696784949
M3,A,all_eligible,28,30480,0.6893853656457313
M3,A,all_eligible,29,30480,0.6884524101687092
M3,A,all_eligible,30,30480,0.6893735468720937
M3,A,all_eligible,31,30480,0.6897400666329111
M3,A,all_eligible,32,30480,0.6892238962255702
M3,A,all_eligible,33,30480,0.688911028099834
M3,A,all_eligible,34,30480,0.6886573356480046
M3,A,all_eligible,35,30480,0.6896602113343115
M3,A,all_eligible,36,30480,0.6891248725553006
M3,A,all_eligible,37,30480,0.6879273875214417
M3,A,all_eligible,38,30480,0.6898474840005235
M3,A,all_eligible,39,30480,0.6891377160532098
M3,A,all_eligible,40,30480,0.6898938075653929
M3,A,all_eligible,41,30480,0.6898573286729907
M3,A,all_eligible,42,30480,0.6881543725587451
M3,A,all_eligible,43,30480,0.6884281698424508
M3,A,all_eligible,44,30480,0.6899266267282534
M3,A,all_eligible,45,30480,0.6897180910334043
M3,A,all_eligible,46,30480,0.6891000660473543
M3,A,all_eligible,47,30480,0.6894991896928239
M3,A,all_eligible,48,30480,0.6889583333333333
M3,A,all_eligible,49,30480,0.6895138888888889
M3,A,all_eligible,50,30480,0.688789081605941
M3,A,all_eligible,51,30480,0.6890976355563823
M3,A,all_eligible,52,30480,0.6906222530500616
M3,A,all_eligible,53,30480,0.6900611971362831
M3,A,all_eligible,54,30480,0.68980218946549
M3,A,all_eligible,55,30480,0.6894121591715405
M3,A,all_eligible,56,30480,0.6894148264685418
M3,A,all_eligible,57,30480,0.6897515775587106
M3,A,all_eligible,58,30480,0.6891963233926468
M3,A,all_eligible,59,30480,0.689053977135732
M3,A,all_eligible,60,30480,0.6891299122181578
M3,A,all_eligible,61,30480,0.6893160159236985
M3,A,all_eligible,62,30480,0.6887534272290767
M3,A,all_eligible,63,30480,0.6889608994495767
M3,A,all_eligible,64,30480,0.6891054716831656
M3,A,all_eligible,65,30480,0.6891779558559117
M3,A,all_eligible,66,30480,0.6896649323854204
M3,A,all_eligible,67,30480,0.6891398042518307
M3,A,all_eligible,68,30480,0.6897941918800504
M3,A,all_eligible,69,30480,0.688589359400941
M3,A,all_eligible,70,30480,0.6880844308216394
M3,A,all_eligible,71,30480,0.688848442419107
M3,A,all_eligible,72,30480,0.6901573683702923
M3,A,all_eligible,73,30480,0.688648304727165
M3,A,all_eligible,74,30480,0.6903354465042263
M3,A,all_eligible,75,30480,0.6893647118544237
M3,A,all_eligible,76,30480,0.6899176453214018
M3,A,all_eligible,77,30480,0.689499710666088
M3,A,all_eligible,78,30480,0.6896446876227086
M3,A,all_eligible,79,30480,0.6891346720193441
M3,A,all_eligible,80,30480,0.689248842664352
M3,A,all_eligible,81,30480,0.6908011836857008
M3,A,all_eligible,82,30480,0.6896464916540944
M3,A,all_eligible,83,30480,0.6889647766101088
M3,A,all_eligible,84,30480,0.6886442338162454
M3,A,all_eligible,85,30480,0.6896552577827378
M3,A,all_eligible,86,30480,0.6895367815735631
M3,A,all_eligible,87,30480,0.6894096985416193
M3,A,all_eligible,88,30480,0.689392693715943
M3,A,all_eligible,89,30480,0.6893928013550471
M3,A,all_eligible,90,30480,0.6897083475416951
M3,A,all_eligible,91,30480,0.6885057582615165
M3,A,all_eligible,92,30480,0.6895035641460172
M3,A,all_eligible,93,30480,0.6902261669801117
M3,A,all_eligible,94,30480,0.6903060739454813
M3,A,all_eligible,95,30480,0.6893826746681271
M3,A,all_eligible,96,30480,0.6884199505204566
M3,A,all_eligible,97,30480,0.6890858383105655
M3,A,all_eligible,98,30480,0.6895522859101274
M3,A,all_eligible,99,30480,0.6895369645600402
M3,A,af_known_only,0,4222,0.5905573229576595
M3,A,af_known_only,1,4222,0.5926028443642188
M3,A,af_known_only,2,4222,0.5912466808382969
M3,A,af_known_only,3,4222,0.5931013497456759
M3,A,af_known_only,4,4222,0.5950646284233115
M3,A,af_known_only,5,4222,0.5954122245682032
M3,A,af_known_only,6,4222,0.5971688305218588
M3,A,af_known_only,7,4222,0.5947120954706808
M3,A,af_known_only,8,4222,0.5993625683607622
M3,A,af_known_only,9,4222,0.5935020165737612
M3,A,af_known_only,10,4222,0.5946975094478159
M3,A,af_known_only,11,4222,0.5931722602568352
M3,A,af_known_only,12,4222,0.5924423981127033
M3,A,af_known_only,13,4222,0.5982514500189731
M3,A,af_known_only,14,4222,0.5873541201363187
M3,A,af_known_only,15,4222,0.5936097287426108
M3,A,af_known_only,16,4222,0.5996955784827889
M3,A,af_known_only,17,4222,0.590354801640187
M3,A,af_known_only,18,4222,0.5956314637118825
M3,A,af_known_only,19,4222,0.5967416844522645
M3,A,af_known_only,20,4222,0.5922909278752585
M3,A,af_known_only,21,4222,0.5917070381599531
M3,A,af_known_only,22,4222,0.5921365404332408
M3,A,af_known_only,23,4222,0.5954900914902674
M3,A,af_known_only,24,4222,0.6006817058286421
M3,A,af_known_only,25,4222,0.5998635421460886
M3,A,af_known_only,26,4222,0.5963649162616428
M3,A,af_known_only,27,4222,0.5922518822140506
M3,A,af_known_only,28,4222,0.5961777663682666
M3,A,af_known_only,29,4222,0.5916569968815083
M3,A,af_known_only,30,4222,0.6003853851641298
M3,A,af_known_only,31,4222,0.5881780060278422
M3,A,af_known_only,32,4222,0.5889473626338857
M3,A,af_known_only,33,4222,0.5956171020893692
M3,A,af_known_only,34,4222,0.5943234340614152
M3,A,af_known_only,35,4222,0.5938687989487292
M3,A,af_known_only,36,4222,0.5941813886387448
M3,A,af_known_only,37,4222,0.5967349524417115
M3,A,af_known_only,38,4222,0.5914550365649153
M3,A,af_known_only,39,4222,0.6026394866976593
M3,A,af_known_only,40,4222,0.5908980748918222
M3,A,af_known_only,41,4222,0.5996840218646726
M3,A,af_known_only,42,4222,0.5954957014990617
M3,A,af_known_only,43,4222,0.5912658670683733
M3,A,af_known_only,44,4222,0.5958441952453605
M3,A,af_known_only,45,4222,0.5924434079142863
M3,A,af_known_only,46,4222,0.5947671857570404
M3,A,af_known_only,47,4222,0.5917706556596798
M3,A,af_known_only,48,4222,0.5952480757108835
M3,A,af_known_only,49,4222,0.5989758143544865
M3,A,af_known_only,50,4222,0.5932215161340487
M3,A,af_known_only,51,4222,0.5967532410703807
M3,A,af_known_only,52,4222,0.599886655382321
M3,A,af_known_only,53,4222,0.5974716587965724
M3,A,af_known_only,54,4222,0.5913666228263179
M3,A,af_known_only,55,4222,0.5884245098142615
M3,A,af_known_only,56,4222,0.5973266961693289
M3,A,af_known_only,57,4222,0.6006729542149231
M3,A,af_known_only,58,4222,0.5899155379515973
M3,A,af_known_only,59,4222,0.5896643217577908
M3,A,af_known_only,60,4222,0.5920923335639421
M3,A,af_known_only,61,4222,0.6004694230958676
M3,A,af_known_only,62,4222,0.5969712460121253
M3,A,af_known_only,63,4222,0.5963490960368429
M3,A,af_known_only,64,4222,0.5917700946588004
M3,A,af_known_only,65,4222,0.5923572381792066
M3,A,af_known_only,66,4222,0.5975443645105458
M3,A,af_known_only,67,4222,0.5930704946973074
M3,A,af_known_only,68,4222,0.5894637078433084
M3,A,af_known_only,69,4222,0.5982341711918867
M3,A,af_known_only,70,4222,0.6011410533487153
M3,A,af_known_only,71,4222,0.5942710365792769
M3,A,af_known_only,72,4222,0.5944506690608689
M3,A,af_known_only,73,4222,0.5935525066529095
M3,A,af_known_only,74,4222,0.6035476349212725
M3,A,af_known_only,75,4222,0.597894429059307
M3,A,af_known_only,76,4222,0.5912372560235225
M3,A,af_known_only,77,4222,0.5949377300243855
M3,A,af_known_only,78,4222,0.5905085158811495
M3,A,af_known_only,79,4222,0.5888605196977507
M3,A,af_known_only,80,4222,0.5919365997198137
M3,A,af_known_only,81,4222,0.5893487026630263
M3,A,af_known_only,82,4222,0.5962127728231427
M3,A,af_known_only,83,4222,0.5937449299545522
M3,A,af_known_only,84,4222,0.5924677553524533
M3,A,af_known_only,85,4222,0.5972367116282692
M3,A,af_known_only,86,4222,0.5976601550920592
M3,A,af_known_only,87,4222,0.5998542295314903
M3,A,af_known_only,88,4222,0.5891384395334178
M3,A,af_known_only,89,4222,0.5983594987883503
M3,A,af_known_only,90,4222,0.5919217892965969
M3,A,af_known_only,91,4222,0.5960291011352189
M3,A,af_known_only,92,4222,0.595035792978109
M3,A,af_known_only,93,4222,0.5975766781612006
M3,A,af_known_only,94,4222,0.5976024842016542
M3,A,af_known_only,95,4222,0.588458169867027
M3,A,af_known_only,96,4222,0.6008547184998567
M3,A,af_known_only,97,4222,0.5977122159736697
M3,A,af_known_only,98,4222,0.598631023213992
M3,A,af_known_only,99,4222,0.5936213975609028
M4,A,all_eligible,0,30480,0.5
M4,A,all_eligible,1,30480,0.5
M4,A,all_eligible,2,30480,0.5
M4,A,all_eligible,3,30480,0.5
M4,A,all_eligible,4,30480,0.5
M4,A,all_eligible,5,30480,0.5
M4,A,all_eligible,6,30480,0.5
M4,A,all_eligible,7,30480,0.5
M4,A,all_eligible,8,30480,0.5
M4,A,all_eligible,9,30480,0.5
M4,A,all_eligible,10,30480,0.5
M4,A,all_eligible,11,30480,0.5
M4,A,all_eligible,12,30480,0.5
M4,A,all_eligible,13,30480,0.5
M4,A,all_eligible,14,30480,0.5
M4,A,all_eligible,15,30480,0.5
M4,A,all_eligible,16,30480,0.5
M4,A,all_eligible,17,30480,0.5
M4,A,all_eligible,18,30480,0.5
M4,A,all_eligible,19,30480,0.5
M4,A,all_eligible,20,30480,0.5
M4,A,all_eligible,21,30480,0.5
M4,A,all_eligible,22,30480,0.5
M4,A,all_eligible,23,30480,0.5
M4,A,all_eligible,24,30480,0.5
M4,A,all_eligible,25,30480,0.5
M4,A,all_eligible,26,30480,0.5
M4,A,all_eligible,27,30480,0.5
M4,A,all_eligible,28,30480,0.5
M4,A,all_eligible,29,30480,0.5
M4,A,all_eligible,30,30480,0.5
M4,A,all_eligible,31,30480,0.5
M4,A,all_eligible,32,30480,0.5
M4,A,all_eligible,33,30480,0.5
M4,A,all_eligible,34,30480,0.5
M4,A,all_eligible,35,30480,0.5
M4,A,all_eligible,36,30480,0.5
M4,A,all_eligible,37,30480,0.5
M4,A,all_eligible,38,30480,0.5
M4,A,all_eligible,39,30480,0.5
M4,A,all_eligible,40,30480,0.5
M4,A,all_eligible,41,30480,0.5
M4,A,all_eligible,42,30480,0.5
M4,A,all_eligible,43,30480,0.5
M4,A,all_eligible,44,30480,0.5
M4,A,all_eligible,45,30480,0.5
M4,A,all_eligible,46,30480,0.5
M4,A,all_eligible,47,30480,0.5
M4,A,all_eligible,48,30480,0.5
M4,A,all_eligible,49,30480,0.5
M4,A,all_eligible,50,30480,0.5
M4,A,all_eligible,51,30480,0.5
M4,A,all_eligible,52,30480,0.5
M4,A,all_eligible,53,30480,0.5
M4,A,all_eligible,54,30480,0.5
M4,A,all_eligible,55,30480,0.5
M4,A,all_eligible,56,30480,0.5
M4,A,all_eligible,57,30480,0.5
