Run,Full test AUROC,Matched mean,Matched 2.5%,Matched 97.5%,Delta (matched - full),Matched n
M3,0.5000,0.5000,0.5000,0.5000,0.0000,30204
M4,0.5796,0.5000,0.5000,0.5000,-0.0796,30204
NT,0.9016,0.9057,0.9051,0.9062,0.0041,30204
DNABERT-2† seed 42,0.6740,0.6676,0.6666,0.6689,-0.0064,30204
DNABERT-2† seed 1,0.6796,0.6703,0.6691,0.6714,-0.0093,30204
DNABERT-2† seed 2,0.6785,0.6708,0.6696,0.6720,-0.0077,30204
DNABERT-2† seed 3,0.6640,0.6557,0.6544,0.6568,-0.0083,30204
DNABERT-2† mean,0.6740,0.6661,0.6649,0.6673,-0.0079,30204
DNABERT-2† min,0.6640,0.6557,0.6544,0.6568,-0.0093,30204
DNABERT-2† max,0.6796,0.6708,0.6696,0.6720,-0.0064,30204
