run,split,bucket,n,n_pathogenic,n_benign,auroc
M3,A,missing,26624,13495,13129,0.7066805039546726
M3,A,"(0,1e-4)",3595,1386,2209,0.6176723909861076
M3,A,"[1e-4,1e-3)",1670,636,1034,0.5472534457379901
M3,A,"[1e-3,1e-2)",904,89,815,0.5771076032260288
M4,A,missing,26624,13495,13129,0.5
M4,A,"(0,1e-4)",3595,1386,2209,0.5
M4,A,"[1e-4,1e-3)",1670,636,1034,0.5
M4,A,"[1e-3,1e-2)",904,89,815,0.5
NT,A,missing,26624,13495,13129,0.9528875647305328
NT,A,"(0,1e-4)",3595,1386,2209,0.8468014556742488
NT,A,"[1e-4,1e-3)",1670,636,1034,0.7665170370911037
NT,A,"[1e-3,1e-2)",904,89,815,0.6660095126490659
DNABERT-2 seed 42,A,missing,26624,13495,13129,0.9364229736608298
DNABERT-2 seed 42,A,"(0,1e-4)",3595,1386,2209,0.7924338123523276
DNABERT-2 seed 42,A,"[1e-4,1e-3)",1670,636,1034,0.7220539396372395
DNABERT-2 seed 42,A,"[1e-3,1e-2)",904,89,815,0.6672502929620183
M3,B,missing,27041,13746,13295,0.5
M3,B,"(0,1e-4)",3462,1288,2174,0.5
M3,B,"[1e-4,1e-3)",1523,519,1004,0.5
M4,B,missing,27041,13746,13295,0.5
M4,B,"(0,1e-4)",3462,1288,2174,0.5
M4,B,"[1e-4,1e-3)",1523,519,1004,0.5
NT,B,missing,27041,13746,13295,0.9209922574761672
NT,B,"(0,1e-4)",3462,1288,2174,0.7873556486311976
NT,B,"[1e-4,1e-3)",1523,519,1004,0.7256465467609331
DNABERT-2 seed 42,B,missing,27041,13746,13295,0.671766033807257
DNABERT-2 seed 42,B,"(0,1e-4)",3462,1288,2174,0.6327064774551875
DNABERT-2 seed 42,B,"[1e-4,1e-3)",1523,519,1004,0.6416818276028833
DNABERT-2 seed 1,B,missing,27041,13746,13295,0.6727172845851509
DNABERT-2 seed 1,B,"(0,1e-4)",3462,1288,2174,0.6492218882673264
DNABERT-2 seed 1,B,"[1e-4,1e-3)",1523,519,1004,0.6577812065802301
DNABERT-2 seed 2,B,missing,27041,13746,13295,0.6755578935007768
DNABERT-2 seed 2,B,"(0,1e-4)",3462,1288,2174,0.6349306742016033
DNABERT-2 seed 2,B,"[1e-4,1e-3)",1523,519,1004,0.6345984079097867
DNABERT-2 seed 3,B,missing,27041,13746,13295,0.6589154343617867
DNABERT-2 seed 3,B,"(0,1e-4)",3462,1288,2174,0.6262288794162519
DNABERT-2 seed 3,B,"[1e-4,1e-3)",1523,519,1004,0.6427929898901504
M3,C,missing,19367,9126,10241,0.6139689734253065
M3,C,"(0,1e-4)",7199,3712,3487,0.5793605389599794
M3,C,"[1e-4,1e-3)",4439,2130,2309,0.5730289924911095
M3,C,"[1e-3,1e-2)",1641,377,1264,0.6004893731323238
M4,C,missing,19367,9126,10241,0.5
M4,C,"(0,1e-4)",7199,3712,3487,0.5
M4,C,"[1e-4,1e-3)",4439,2130,2309,0.5
M4,C,"[1e-3,1e-2)",1641,377,1264,0.5
NT,C,missing,19367,9126,10241,0.8953450743502797
NT,C,"(0,1e-4)",7199,3712,3487,0.8260573988484321
NT,C,"[1e-4,1e-3)",4439,2130,2309,0.7552420920789643
NT,C,"[1e-3,1e-2)",1641,377,1264,0.6758406641372595
DNABERT-2 seed 42,C,missing,19367,9126,10241,0.8080860724007052
DNABERT-2 seed 42,C,"(0,1e-4)",7199,3712,3487,0.7548198187479604
DNABERT-2 seed 42,C,"[1e-4,1e-3)",4439,2130,2309,0.705837130477393
DNABERT-2 seed 42,C,"[1e-3,1e-2)",1641,377,1264,0.6629474028808381
