gene,n,valid,auroc_mean,auroc_min,auroc_max,accuracy_mean,accuracy_min,accuracy_max,pred_pos_mean,pred_pos_min,pred_pos_max
ATM,5804,True,0.6971804394730425,0.6681593988530561,0.7213832484661608,0.628144383184011,0.6073397656788422,0.6535148173673329,0.33998104755341146,0.2005513439007581,0.5191247415575465
BRCA2,5804,True,0.6571783949413403,0.6446216031358416,0.6723300297487426,0.5573311509303929,0.5115437629221227,0.6064782908339077,0.402868711233632,0.2758442453480358,0.562026188835286
DMD,5804,True,0.688261057643297,0.6777585356816587,0.7023747093672931,0.6243108201240524,0.6130254996554101,0.6395589248793935,0.4248793935217092,0.31323225361819435,0.5289455547898001
NF1,5804,True,0.6880585846810687,0.6634819654310786,0.7116279069767442,0.5792556857339766,0.545485871812543,0.6078566505858028,0.3432115782219159,0.21709166092350105,0.5017229496898691
CDH1,2673,True,0.6622374166830476,0.6415137003399609,0.6822221793435462,0.6406659184436962,0.6169098391320613,0.6599326599326599,0.29031051253273477,0.20202020202020202,0.38047138047138046
ALK,2424,True,0.6326570922683454,0.6226700767263427,0.6448160535117057,0.733085808580858,0.6765676567656765,0.7937293729372937,0.23432343234323433,0.15800330033003301,0.30981848184818483
CACNA1S,1757,True,0.7118450406277695,0.7068994203794189,0.7167533098134824,0.7132896983494593,0.6858281161070006,0.7387592487194081,0.2613830392714855,0.22083096186681844,0.29766647694934545
ARID1A,941,True,0.6297495600804425,0.6180492709904475,0.650062845651081,0.6758767268862912,0.6609989373007439,0.6886291179596175,0.2662061636556854,0.206163655685441,0.31243358129649307
BRAF,807,True,0.7052583378663222,0.6755031617597063,0.736367036105256,0.7047707558859975,0.6418835192069393,0.7385377942998761,0.24194547707558858,0.15117719950433706,0.3990086741016109
F8,740,True,0.6380424426824022,0.6214733542319749,0.654450181326449,0.5168918918918919,0.40405405405405403,0.6675675675675675,0.4695945945945946,0.3256756756756757,0.6648648648648648
CTNNB1,542,True,0.7145798898071626,0.6740771349862259,0.7412121212121212,0.6383763837638377,0.5940959409594095,0.6678966789667896,0.3440959409594096,0.21033210332103322,0.5166051660516605
ABL1,521,True,0.6418649885583524,0.6358352402745996,0.6472768878718536,0.7279270633397313,0.6871401151631478,0.7735124760076776,0.2547984644913628,0.19193857965451055,0.30518234165067176
FBXW7,101,True,0.689651268115942,0.6326992753623188,0.7146739130434783,0.6237623762376238,0.5841584158415841,0.6435643564356436,0.3564356435643564,0.2376237623762376,0.49504950495049505
BCR,58,False,,,,0.8017241379310345,0.7586206896551724,0.8448275862068966,0.19827586206896552,0.15517241379310345,0.2413793103448276
