run,gene,n,n_pathogenic,n_benign,valid,auroc,ci_lo,ci_hi,accuracy,pred_pos_frac
M3,ATM,1151,518,633,True,0.5,0.5,0.5,0.5499565595134666,0.0
M3,BRCA2,1202,827,375,True,0.5,0.5,0.5,0.6880199667221298,1.0
M3,DMD,1183,477,706,True,0.5,0.5,0.5,0.5967878275570583,0.0
M3,NF1,1131,681,450,True,0.5,0.5,0.5,0.6021220159151194,1.0
M3,CDH1,503,183,320,True,0.5,0.5,0.5,0.6361829025844931,0.0
M3,ALK,472,57,415,True,0.5,0.5,0.5,0.8792372881355932,0.0
M3,CACNA1S,355,86,269,True,0.5,0.5,0.5,0.7577464788732394,0.0
M3,ARID1A,186,49,137,True,0.5,0.5,0.5,0.7365591397849462,0.0
M3,BRAF,138,30,108,True,0.5,0.5,0.5,0.782608695652174,0.0
M3,F8,133,112,21,False,,,,0.8421052631578947,1.0
M3,CTNNB1,105,44,61,True,0.5,0.5,0.5,0.580952380952381,0.0
M3,ABL1,105,10,95,False,,,,0.9047619047619048,0.0
M3,FBXW7,20,4,16,False,,,,0.8,0.0
M3,BCR,8,0,8,False,,,,1.0,0.0
NT,ATM,1151,518,633,True,0.9457050144253936,0.9325921264194088,0.958604397123118,0.8879235447437012,0.4109470026064292
NT,BRCA2,1202,827,375,True,0.9453510681176944,0.9312247319753213,0.9577808487241403,0.8960066555740432,0.6455906821963394
NT,DMD,1183,477,706,True,0.9348709177401251,0.9193692076883354,0.9500620463462945,0.8774302620456467,0.4158918005071851
NT,NF1,1131,681,450,True,0.959885788872573,0.9493167349997355,0.969979455253241,0.9062776304155614,0.5596816976127321
NT,CDH1,503,183,320,True,0.9032957650273225,0.8712206621209331,0.9330472944097757,0.8548707753479126,0.31809145129224653
NT,ALK,472,57,415,True,0.7892200380469245,0.7122583566840119,0.8574545394040771,0.8792372881355932,0.11016949152542373
NT,CACNA1S,355,86,269,True,0.832367943286937,0.7822784369048846,0.881865302426657,0.8169014084507042,0.2563380281690141
NT,ARID1A,186,49,137,True,0.8416505288246685,0.775752579414116,0.9059441234827265,0.7903225806451613,0.27956989247311825
NT,BRAF,138,30,108,True,0.8845679012345679,0.8028956846986963,0.9546788077234675,0.9057971014492754,0.21014492753623187
NT,F8,133,112,21,False,,,,0.8270676691729323,0.6992481203007519
NT,CTNNB1,105,44,61,True,0.9891952309985097,0.9693855173648407,1.0,0.9523809523809523,0.42857142857142855
NT,ABL1,105,10,95,False,,,,0.7714285714285715,0.2857142857142857
NT,FBXW7,20,4,16,False,,,,0.75,0.35
NT,BCR,8,0,8,False,,,,1.0,0.0
DNABERT-2,ATM,1151,518,633,True,0.9122063837703648,0.8950578739521087,0.929041402330718,0.8644656820156386,0.40312771503040834
DNABERT-2,BRCA2,1202,827,375,True,0.9275953244659412,0.9127692876056025,0.9421998116728394,0.8668885191347754,0.6564059900166389
DNABERT-2,DMD,1183,477,706,True,0.8822491848842803,0.8597121680766111,0.9021713259421089,0.8453085376162299,0.3668639053254438
DNABERT-2,NF1,1131,681,450,True,0.9426464349812368,0.9281903013017119,0.9553388552807518,0.8850574712643678,0.5738284703801945
DNABERT-2,CDH1,503,183,320,True,0.8847592213114754,0.845119564043342,0.9194318972909272,0.856858846918489,0.30417495029821073
DNABERT-2,ALK,472,57,415,True,0.6764320439653351,0.5933613774143273,0.7524392025515333,0.8665254237288136,0.0635593220338983
DNABERT-2,CACNA1S,355,86,269,True,0.7747903518630587,0.7059246568120857,0.8338425643637712,0.8112676056338028,0.22253521126760564
DNABERT-2,ARID1A,186,49,137,True,0.7598689110680769,0.678207038205947,0.8417179169327457,0.7688172043010753,0.16129032258064516
DNABERT-2,BRAF,138,30,108,True,0.808641975308642,0.6874634740259741,0.917775974025974,0.855072463768116,0.21739130434782608
DNABERT-2,F8,133,112,21,False,,,,0.8571428571428571,0.7744360902255639
DNABERT-2,CTNNB1,105,44,61,True,0.9769001490312966,0.9434380073317623,0.9981728154050238,0.9238095238095239,0.4380952380952381
DNABERT-2,ABL1,105,10,95,False,,,,0.8666666666666667,0.11428571428571428
DNABERT-2,FBXW7,20,4,16,False,,,,0.75,0.25
DNABERT-2,BCR,8,0,8,False,,,,1.0,0.0
