model,run,gene,n,n_pathogenic,n_benign,valid,auroc,ci_lo,ci_hi,accuracy,pred_pos_frac
m3,M3,ATM,5804,2715,3089,True,0.5,0.5,0.5,0.5322191592005513,0.0
m3,M3,BRCA2,5804,3970,1834,True,0.5,0.5,0.5,0.3159889731219848,0.0
m3,M3,DMD,5804,2392,3412,True,0.5,0.5,0.5,0.5878704341833219,0.0
m3,M3,NF1,5804,3440,2364,True,0.5,0.5,0.5,0.4073053066850448,0.0
m3,M3,CDH1,2673,979,1694,True,0.5,0.5,0.5,0.6337448559670782,0.0
m3,M3,ALK,2424,299,2125,True,0.5,0.5,0.5,0.8766501650165016,0.0
m3,M3,CACNA1S,1757,451,1306,True,0.5,0.5,0.5,0.7433124644280023,0.0
m3,M3,ARID1A,941,221,720,True,0.5,0.5,0.5,0.7651434643995749,0.0
m3,M3,BRAF,807,191,616,True,0.5,0.5,0.5,0.7633209417596035,0.0
m3,M3,F8,740,638,102,True,0.5,0.5,0.5,0.13783783783783785,0.0
m3,M3,CTNNB1,542,242,300,True,0.5,0.5,0.5,0.5535055350553506,0.0
m3,M3,ABL1,521,46,475,True,0.5,0.5,0.5,0.9117082533589251,0.0
m3,M3,FBXW7,101,32,69,True,0.5,0.5,0.5,0.6831683168316832,0.0
m3,M3,BCR,58,0,58,False,,,,1.0,0.0
nt,NT,ATM,5804,2715,3089,True,0.9116076948621229,0.9037904619955281,0.9193894457215446,0.8439007580978636,0.38439007580978635
nt,NT,BRCA2,5804,3970,1834,True,0.9133889943386742,0.905368431204521,0.9210446444720224,0.8254651964162646,0.5770158511371468
nt,NT,DMD,5804,2392,3412,True,0.9074196986241752,0.8987433704177046,0.9151550970118126,0.844934527911785,0.4386629910406616
nt,NT,NF1,5804,3440,2364,True,0.9398220153071263,0.9338696954816419,0.9460330519776993,0.8623363197794625,0.5115437629221227
nt,NT,CDH1,2673,979,1694,True,0.8866352794758403,0.8723863173354198,0.9010019049295132,0.8335203890759446,0.3367003367003367
nt,NT,ALK,2424,299,2125,True,0.7779201259098957,0.7467436211916256,0.8063180890395562,0.8523102310231023,0.1481023102310231
nt,NT,CACNA1S,1757,451,1306,True,0.8568231902561264,0.8356515699713669,0.8765248491260335,0.8355150825270348,0.2640865110984633
nt,NT,ARID1A,941,221,720,True,0.8162047511312217,0.7809980136213318,0.8457127986965196,0.7460148777895855,0.3655685441020191
nt,NT,BRAF,807,191,616,True,0.7533402461412932,0.7131351219924129,0.7924870227903271,0.7893432465923172,0.23172242874845106
nt,NT,F8,740,638,102,True,0.826587374761817,0.7822216814898137,0.8655293725803054,0.7472972972972973,0.6905405405405406
nt,NT,CTNNB1,542,242,300,True,0.9628925619834711,0.9474230121048085,0.9759314327136968,0.9095940959409594,0.45202952029520294
nt,NT,ABL1,521,46,475,True,0.8015102974828375,0.7310727260169231,0.864946533698225,0.7965451055662188,0.22648752399232247
nt,NT,FBXW7,101,32,69,True,0.8777173913043478,0.7925547055684042,0.9523154960981047,0.8514851485148515,0.3465346534653465
nt,NT,BCR,58,0,58,False,,,,0.8620689655172413,0.13793103448275862
dnabert2,DNABERT-2 seed 42,ATM,5804,2715,3089,True,0.7189858626254749,0.7062892918410978,0.7325241300742572,0.6321502412129566,0.2005513439007581
dnabert2,DNABERT-2 seed 42,BRCA2,5804,3970,1834,True,0.6614480468288609,0.6467611305995423,0.6763309659859205,0.5115437629221227,0.2758442453480358
dnabert2,DNABERT-2 seed 42,DMD,5804,2392,3412,True,0.7023747093672931,0.6895785720588432,0.7163135810190018,0.6395589248793935,0.31323225361819435
dnabert2,DNABERT-2 seed 42,NF1,5804,3440,2364,True,0.7086410621532286,0.6959777681950616,0.7218846273027876,0.545485871812543,0.21709166092350105
dnabert2,DNABERT-2 seed 42,CDH1,2673,979,1694,True,0.6815124702579434,0.6610066008366327,0.7019708469253741,0.6599326599326599,0.20202020202020202
dnabert2,DNABERT-2 seed 42,ALK,2424,299,2125,True,0.6448160535117057,0.6088887256359361,0.6785491540291699,0.7937293729372937,0.15800330033003301
