Gene,n,n pathogenic,n benign,AUROC s42,AUROC s1,AUROC s2,AUROC s3,AUROC mean,AUROC min,AUROC max,95% CI (s42),Acc@0.5 mean,Pred. pos. mean
ATM,5804,2715,3089,0.7190,0.6802,0.7214,0.6682,0.6972,0.6682,0.7214,0.7063-0.7325,0.6281,0.3400
BRCA2,5804,3970,1834,0.6614,0.6503,0.6723,0.6446,0.6572,0.6446,0.6723,0.6468-0.6763,0.5573,0.4029
DMD,5804,2392,3412,0.7024,0.6778,0.6901,0.6828,0.6883,0.6778,0.7024,0.6896-0.7163,0.6243,0.4249
NF1,5804,3440,2364,0.7086,0.6685,0.7116,0.6635,0.6881,0.6635,0.7116,0.6960-0.7219,0.5793,0.3432
CDH1,2673,979,1694,0.6815,0.6415,0.6822,0.6437,0.6622,0.6415,0.6822,0.6610-0.7020,0.6407,0.2903
ALK,2424,299,2125,0.6448,0.6335,0.6227,0.6296,0.6327,0.6227,0.6448,0.6089-0.6785,0.7331,0.2343
CACNA1S,1757,451,1306,0.7140,0.7069,0.7168,0.7097,0.7118,0.7069,0.7168,0.6864-0.7409,0.7133,0.2614
ARID1A,941,221,720,0.6287,0.6222,0.6501,0.6180,0.6297,0.6180,0.6501,0.5866-0.6682,0.6759,0.2662
BRAF,807,191,616,0.7364,0.6755,0.6869,0.7222,0.7053,0.6755,0.7364,0.6987-0.7736,0.7048,0.2419
F8,740,638,102,0.6215,0.6463,0.6299,0.6545,0.6380,0.6215,0.6545,0.5598-0.6763,0.5169,0.4696
CTNNB1,542,242,300,0.7153,0.6741,0.7412,0.7278,0.7146,0.6741,0.7412,0.6707-0.7542,0.6384,0.3441
ABL1,521,46,475,0.6462,0.6381,0.6473,0.6358,0.6419,0.6358,0.6473,0.5605-0.7312,0.7279,0.2548
FBXW7,101,32,69,0.6984,0.7147,0.6327,0.7129,0.6897,0.6327,0.7147,0.5958-0.7926,0.6238,0.3564
BCR,58,0,58,insufficient,insufficient,insufficient,insufficient,-,-,-,-,0.8017,0.1983
