column,length,n_windows
ref_sequence,100,168927
mut_sequence,51,4
mut_sequence,52,4
mut_sequence,53,4
mut_sequence,54,12
mut_sequence,55,10
mut_sequence,56,24
mut_sequence,57,9
mut_sequence,58,9
mut_sequence,59,18
mut_sequence,60,6
mut_sequence,61,8
mut_sequence,62,19
mut_sequence,63,16
mut_sequence,64,12
mut_sequence,65,25
mut_sequence,66,17
mut_sequence,67,7
mut_sequence,68,20
mut_sequence,69,19
mut_sequence,70,16
mut_sequence,71,39
mut_sequence,72,40
mut_sequence,73,30
mut_sequence,74,46
mut_sequence,75,55
mut_sequence,76,34
mut_sequence,77,59
mut_sequence,78,70
mut_sequence,79,49
mut_sequence,80,85
mut_sequence,81,103
mut_sequence,82,77
mut_sequence,83,124
mut_sequence,84,143
mut_sequence,85,97
mut_sequence,86,211
mut_sequence,87,231
mut_sequence,88,134
mut_sequence,89,314
mut_sequence,90,327
mut_sequence,91,178
mut_sequence,92,410
mut_sequence,93,486
mut_sequence,94,261
mut_sequence,95,850
mut_sequence,96,1564
mut_sequence,97,838
mut_sequence,98,3609
mut_sequence,99,11972
mut_sequence,100,135105
mut_sequence,101,6626
mut_sequence,102,1466
mut_sequence,103,270
mut_sequence,104,930
mut_sequence,105,357
mut_sequence,106,114
mut_sequence,107,187
mut_sequence,108,195
mut_sequence,109,54
mut_sequence,110,89
mut_sequence,111,69
mut_sequence,112,48
mut_sequence,113,67
mut_sequence,114,59
mut_sequence,115,24
mut_sequence,116,51
mut_sequence,117,59
mut_sequence,118,29
mut_sequence,119,49
mut_sequence,120,48
mut_sequence,121,22
mut_sequence,122,29
mut_sequence,123,34
mut_sequence,124,10
mut_sequence,125,24
mut_sequence,126,21
mut_sequence,127,21
mut_sequence,128,22
mut_sequence,129,17
mut_sequence,130,5
mut_sequence,131,13
mut_sequence,132,15
mut_sequence,133,3
mut_sequence,134,11
mut_sequence,135,10
mut_sequence,136,2
mut_sequence,137,8
mut_sequence,138,6
mut_sequence,139,5
mut_sequence,140,3
mut_sequence,141,4
mut_sequence,142,5
mut_sequence,143,10
mut_sequence,144,13
mut_sequence,145,4
mut_sequence,146,9
mut_sequence,147,3
mut_sequence,148,3
mut_sequence,149,4
genomic_ref_sequence,100,168927
genomic_mut_sequence,51,4
genomic_mut_sequence,52,4
genomic_mut_sequence,53,4
genomic_mut_sequence,54,12
genomic_mut_sequence,55,10
genomic_mut_sequence,56,24
genomic_mut_sequence,57,9
genomic_mut_sequence,58,9
genomic_mut_sequence,59,18
genomic_mut_sequence,60,6
genomic_mut_sequence,61,8
genomic_mut_sequence,62,19
genomic_mut_sequence,63,16
genomic_mut_sequence,64,12
genomic_mut_sequence,65,25
genomic_mut_sequence,66,17
genomic_mut_sequence,67,7
genomic_mut_sequence,68,20
genomic_mut_sequence,69,19
genomic_mut_sequence,70,16
genomic_mut_sequence,71,39
genomic_mut_sequence,72,40
genomic_mut_sequence,73,30
genomic_mut_sequence,74,46
genomic_mut_sequence,75,55
genomic_mut_sequence,76,34
genomic_mut_sequence,77,59
genomic_mut_sequence,78,70
genomic_mut_sequence,79,49
genomic_mut_sequence,80,85
genomic_mut_sequence,81,103
genomic_mut_sequence,82,77
genomic_mut_sequence,83,124
genomic_mut_sequence,84,143
genomic_mut_sequence,85,97
genomic_mut_sequence,86,211
genomic_mut_sequence,87,231
genomic_mut_sequence,88,134
genomic_mut_sequence,89,314
genomic_mut_sequence,90,327
genomic_mut_sequence,91,178
genomic_mut_sequence,92,410
genomic_mut_sequence,93,486
genomic_mut_sequence,94,261
genomic_mut_sequence,95,850
genomic_mut_sequence,96,1564
genomic_mut_sequence,97,838
genomic_mut_sequence,98,3609
genomic_mut_sequence,99,11972
genomic_mut_sequence,100,135105
genomic_mut_sequence,101,6626
genomic_mut_sequence,102,1466
genomic_mut_sequence,103,270
genomic_mut_sequence,104,930
genomic_mut_sequence,105,357
genomic_mut_sequence,106,114
genomic_mut_sequence,107,187
genomic_mut_sequence,108,195
genomic_mut_sequence,109,54
genomic_mut_sequence,110,89
genomic_mut_sequence,111,69
genomic_mut_sequence,112,48
genomic_mut_sequence,113,67
genomic_mut_sequence,114,59
genomic_mut_sequence,115,24
genomic_mut_sequence,116,51
genomic_mut_sequence,117,59
genomic_mut_sequence,118,29
genomic_mut_sequence,119,49
genomic_mut_sequence,120,48
genomic_mut_sequence,121,22
genomic_mut_sequence,122,29
genomic_mut_sequence,123,34
genomic_mut_sequence,124,10
genomic_mut_sequence,125,24
genomic_mut_sequence,126,21
genomic_mut_sequence,127,21
genomic_mut_sequence,128,22
genomic_mut_sequence,129,17
genomic_mut_sequence,130,5
genomic_mut_sequence,131,13
genomic_mut_sequence,132,15
genomic_mut_sequence,133,3
genomic_mut_sequence,134,11
genomic_mut_sequence,135,10
genomic_mut_sequence,136,2
genomic_mut_sequence,137,8
genomic_mut_sequence,138,6
genomic_mut_sequence,139,5
genomic_mut_sequence,140,3
genomic_mut_sequence,141,4
genomic_mut_sequence,142,5
genomic_mut_sequence,143,10
genomic_mut_sequence,144,13
genomic_mut_sequence,145,4
genomic_mut_sequence,146,9
genomic_mut_sequence,147,3
genomic_mut_sequence,148,3
genomic_mut_sequence,149,4
