variant,statistic,value,fraction_of_scored_windows
forward,n_test_windows_scored,33780.0,
forward,quantile_0,0.0,
forward,quantile_0.01,0.0,
forward,quantile_0.05,0.0,
forward,quantile_0.25,0.0,
forward,quantile_0.5,0.0,
forward,quantile_0.75,0.0,
forward,quantile_0.9,0.0,
forward,quantile_0.95,0.0,
forward,quantile_0.99,0.0,
forward,quantile_1,0.34210526315789475,
forward,mean,0.0007430612951340063,
forward,n_ge_0.5,0.0,0.0
forward,n_ge_0.8,0.0,0.0
forward,n_ge_0.95,0.0,0.0
canonical,n_test_windows_scored,33780.0,
canonical,quantile_0,0.0,
canonical,quantile_0.01,0.0,
canonical,quantile_0.05,0.0,
canonical,quantile_0.25,0.0,
canonical,quantile_0.5,0.0,
canonical,quantile_0.75,0.0,
canonical,quantile_0.9,0.0,
canonical,quantile_0.95,0.0,
canonical,quantile_0.99,0.0,
canonical,quantile_1,0.34210526315789475,
canonical,mean,0.0008288992408787956,
canonical,n_ge_0.5,0.0,0.0
canonical,n_ge_0.8,0.0,0.0
canonical,n_ge_0.95,0.0,0.0
