run,split,subset,n,n_pathogenic,auroc,ci_low,ci_high
M3,A,full,33786,15628,0.6903291675609253,0.6844723506519179,0.6959219894673567
M3,A,shared,12186,6504,0.7056375130805163,0.6961757429219166,0.714636568803365
M3,A,novel,21600,9124,0.6775185603179674,0.6707213842004961,0.6846553556625313
M3,B,full,33780,15616,0.5,0.5,0.5
M3,C,full,33536,15413,0.6043667005968095,0.5983832026088197,0.6102185857707535
M3,C,shared,11495,5498,0.6163874498180338,0.6062661928861242,0.6262207769125921
M3,C,novel,22041,9915,0.5960682417736975,0.5887841484851426,0.6035001884473167
NT,A,full,33786,15628,0.9343105042214976,0.9318035470959176,0.9371316900860327
NT,A,shared,12186,6504,0.9506047614594414,0.9467717827241724,0.9539206127519994
NT,A,novel,21600,9124,0.9228437099889394,0.9187171363173184,0.9265794466797227
NT,B,full,33780,15616,0.9015744330571008,0.8982886910537469,0.9049072648817722
NT,C,full,33536,15413,0.851860114287341,0.8477115403979611,0.8562859337680393
NT,C,shared,11495,5498,0.8806860384236013,0.8743588322436683,0.8874431388518994
NT,C,novel,22041,9915,0.8348651314500818,0.8293146372243263,0.840155861064557
DNABERT-2 seed 42,A,full,33786,15628,0.9136645922590638,0.9103452005491798,0.9169386080509332
DNABERT-2 seed 42,A,shared,12186,6504,0.934503766236184,0.9297261427928304,0.9388068603812405
DNABERT-2 seed 42,A,novel,21600,9124,0.8984729944975282,0.8937950697584949,0.902852369144346
DNABERT-2 seed 42,B,full,33780,15616,0.6739668968506657,0.6684159579365716,0.6796129738514086
DNABERT-2 seed 42,C,full,33536,15413,0.7772395472206672,0.7723709793204241,0.7820644848654971
DNABERT-2 seed 42,C,shared,11495,5498,0.8163182476408569,0.8092009727889231,0.8239529130586749
DNABERT-2 seed 42,C,novel,22041,9915,0.7570260250226879,0.7512972767856041,0.7635316467155693
DNABERT-2 seed 1,B,full,33780,15616,0.6795601313262407,0.6743217358511521,0.6851361337389632
DNABERT-2 seed 2,B,full,33780,15616,0.6784897539432394,0.6727926171353489,0.6844080975414251
DNABERT-2 seed 3,B,full,33780,15616,0.6640002946035167,0.6580173988653497,0.6697050614522013
DNABERT-2 mean over seeds,B,full,33780,15616,0.6740042691809156,,
DNABERT-2 min over seeds,B,full,33780,15616,0.6640002946035167,,
DNABERT-2 max over seeds,B,full,33780,15616,0.6795601313262407,,
