Split,Gene,n shared,shared path.,shared benign,n novel,novel path.,novel benign
A,APC,452,211,241,682,327,355
A,ATM,352,186,166,799,332,467
A,ATP7B,106,51,55,294,141,153
A,BRCA1,503,382,121,656,356,300
A,BRCA2,347,264,83,855,563,292
A,CDH1,240,81,159,263,102,161
A,CFTR,215,133,82,378,187,191
A,CHEK2,254,138,116,199,94,105
A,COL1A1,143,99,44,355,202,153
A,DMD,280,127,153,903,350,553
A,FBN1,395,309,86,715,420,295
A,HBB,120,49,71,153,40,113
A,KCNH2,146,74,72,285,114,171
A,KCNQ1,90,54,36,316,72,244
A,LDLR,366,297,69,303,175,128
A,MECP2,133,77,56,135,65,70
A,MEN1,161,63,98,196,103,93
A,MLH1,438,280,158,308,182,126
A,MSH2,736,452,284,341,193,148
A,MSH6,697,406,291,451,256,195
A,NF1,399,261,138,732,420,312
A,PALB2,342,205,137,357,187,170
A,PMS2,307,119,188,280,136,144
A,PTCH1,247,87,160,421,157,264
A,PTEN,269,196,73,183,92,91
A,RAD51C,109,41,68,165,62,103
A,RAD51D,88,35,53,118,54,64
A,RB1,188,92,96,320,131,189
A,RET,139,30,109,329,85,244
A,RYR1,225,53,172,935,241,694
A,SCN1A,211,175,36,459,315,144
A,SCN5A,101,39,62,383,143,240
A,SDHB,77,35,42,94,33,61
A,SLC26A4,78,41,37,183,90,93
A,SMAD4,104,30,74,186,57,129
A,STK11,176,65,111,150,49,101
A,TP53,317,224,93,188,85,103
A,TSC1,191,83,108,364,146,218
A,TSC2,512,195,317,646,290,356
A,VHL,114,56,58,102,42,60
