split,gene,n_shared,n_shared_pathogenic,n_shared_benign,n_novel,n_novel_pathogenic,n_novel_benign
A,APC,452,211,241,682,327,355
A,ATM,352,186,166,799,332,467
A,ATP7B,106,51,55,294,141,153
A,BRCA1,503,382,121,656,356,300
A,BRCA2,347,264,83,855,563,292
A,CDH1,240,81,159,263,102,161
A,CFTR,215,133,82,378,187,191
A,CHEK2,254,138,116,199,94,105
A,COL1A1,143,99,44,355,202,153
A,DMD,280,127,153,903,350,553
A,FBN1,395,309,86,715,420,295
A,HBB,120,49,71,153,40,113
A,KCNH2,146,74,72,285,114,171
A,KCNQ1,90,54,36,316,72,244
A,LDLR,366,297,69,303,175,128
A,MECP2,133,77,56,135,65,70
A,MEN1,161,63,98,196,103,93
A,MLH1,438,280,158,308,182,126
A,MSH2,736,452,284,341,193,148
A,MSH6,697,406,291,451,256,195
A,NF1,399,261,138,732,420,312
A,PALB2,342,205,137,357,187,170
A,PMS2,307,119,188,280,136,144
A,PTCH1,247,87,160,421,157,264
A,PTEN,269,196,73,183,92,91
A,RAD51C,109,41,68,165,62,103
A,RAD51D,88,35,53,118,54,64
A,RB1,188,92,96,320,131,189
A,RET,139,30,109,329,85,244
A,RYR1,225,53,172,935,241,694
A,SCN1A,211,175,36,459,315,144
A,SCN5A,101,39,62,383,143,240
A,SDHB,77,35,42,94,33,61
A,SLC26A4,78,41,37,183,90,93
A,SMAD4,104,30,74,186,57,129
A,STK11,176,65,111,150,49,101
A,TP53,317,224,93,188,85,103
A,TSC1,191,83,108,364,146,218
A,TSC2,512,195,317,646,290,356
A,VHL,114,56,58,102,42,60
C,APC,417,190,227,721,371,350
C,ATM,371,206,165,916,510,406
C,ATP7B,84,49,35,225,134,91
C,BRCA1,333,262,71,350,253,97
C,BRCA2,239,192,47,629,474,155
C,CDH1,219,84,135,301,156,145
C,CFTR,145,95,50,257,147,110
C,CHEK2,237,149,88,227,140,87
C,COL1A1,128,80,48,314,158,156
C,DMD,197,91,106,653,282,371
C,FBN1,263,160,103,566,309,257
C,KCNH2,151,70,81,223,85,138
C,KCNQ1,117,77,40,453,113,340
C,LDLR,225,168,57,171,97,74
C,MEN1,183,74,109,234,93,141
C,MLH1,539,191,348,650,185,465
C,MSH2,937,400,537,769,288,481
C,MSH6,715,435,280,556,373,183
C,NF1,403,244,159,732,396,336
C,PALB2,344,217,127,504,334,170
C,PMS2,331,175,156,392,201,191
C,PTCH1,290,95,195,583,245,338
C,PTEN,168,92,76,109,59,50
C,RAD51C,91,50,41,219,125,94
C,RAD51D,94,43,51,161,77,84
C,RB1,151,56,95,264,98,166
C,RET,172,58,114,428,185,243
C,RYR1,179,56,123,588,231,357
C,SCN5A,107,44,63,444,238,206
C,SDHB,81,36,45,125,47,78
C,STK11,207,74,133,265,135,130
C,TP53,322,198,124,197,72,125
C,TSC1,239,96,143,447,236,211
C,TSC2,640,220,420,1095,524,571
C,VHL,113,54,59,155,71,84
