run,split,gene,subset,n,auroc
M3,A,APC,shared,452,0.5
M3,A,APC,novel,682,0.5
M3,A,ATM,shared,352,0.5
M3,A,ATM,novel,799,0.5
M3,A,ATP7B,shared,106,0.5
M3,A,ATP7B,novel,294,0.5
M3,A,BRCA1,shared,503,0.5
M3,A,BRCA1,novel,656,0.5
M3,A,BRCA2,shared,347,0.5
M3,A,BRCA2,novel,855,0.5
M3,A,CDH1,shared,240,0.5
M3,A,CDH1,novel,263,0.5
M3,A,CFTR,shared,215,0.5
M3,A,CFTR,novel,378,0.5
M3,A,CHEK2,shared,254,0.5
M3,A,CHEK2,novel,199,0.5
M3,A,COL1A1,shared,143,0.5
M3,A,COL1A1,novel,355,0.5
M3,A,DMD,shared,280,0.5
M3,A,DMD,novel,903,0.5
M3,A,FBN1,shared,395,0.5
M3,A,FBN1,novel,715,0.5
M3,A,HBB,shared,120,0.5
M3,A,HBB,novel,153,0.5
M3,A,KCNH2,shared,146,0.5
M3,A,KCNH2,novel,285,0.5
M3,A,KCNQ1,shared,90,0.5
M3,A,KCNQ1,novel,316,0.5
M3,A,LDLR,shared,366,0.5
M3,A,LDLR,novel,303,0.5
M3,A,MECP2,shared,133,0.5
M3,A,MECP2,novel,135,0.5
M3,A,MEN1,shared,161,0.5
M3,A,MEN1,novel,196,0.5
M3,A,MLH1,shared,438,0.5
M3,A,MLH1,novel,308,0.5
M3,A,MSH2,shared,736,0.5
M3,A,MSH2,novel,341,0.5
M3,A,MSH6,shared,697,0.5
M3,A,MSH6,novel,451,0.5
M3,A,NF1,shared,399,0.5
M3,A,NF1,novel,732,0.5
M3,A,PALB2,shared,342,0.5
M3,A,PALB2,novel,357,0.5
M3,A,PMS2,shared,307,0.5
M3,A,PMS2,novel,280,0.5
M3,A,PTCH1,shared,247,0.5
M3,A,PTCH1,novel,421,0.5
M3,A,PTEN,shared,269,0.5
M3,A,PTEN,novel,183,0.5
M3,A,RAD51C,shared,109,0.5
M3,A,RAD51C,novel,165,0.5
M3,A,RAD51D,shared,88,0.5
M3,A,RAD51D,novel,118,0.5
M3,A,RB1,shared,188,0.5
M3,A,RB1,novel,320,0.5
M3,A,RET,shared,139,0.5
M3,A,RET,novel,329,0.5
M3,A,RYR1,shared,225,0.5
M3,A,RYR1,novel,935,0.5
M3,A,SCN1A,shared,211,0.5
M3,A,SCN1A,novel,459,0.5
M3,A,SCN5A,shared,101,0.5
M3,A,SCN5A,novel,383,0.5
M3,A,SDHB,shared,77,0.5
M3,A,SDHB,novel,94,0.5
M3,A,SLC26A4,shared,78,0.5
M3,A,SLC26A4,novel,183,0.5
M3,A,SMAD4,shared,104,0.5
M3,A,SMAD4,novel,186,0.5
M3,A,STK11,shared,176,0.5
M3,A,STK11,novel,150,0.5
M3,A,TP53,shared,317,0.5
M3,A,TP53,novel,188,0.5
M3,A,TSC1,shared,191,0.5
M3,A,TSC1,novel,364,0.5
M3,A,TSC2,shared,512,0.5
M3,A,TSC2,novel,646,0.5
M3,A,VHL,shared,114,0.5
M3,A,VHL,novel,102,0.5
M3,C,APC,shared,417,0.5
M3,C,APC,novel,721,0.5
M3,C,ATM,shared,371,0.5
M3,C,ATM,novel,916,0.5
M3,C,ATP7B,shared,84,0.5
M3,C,ATP7B,novel,225,0.5
M3,C,BRCA1,shared,333,0.5
M3,C,BRCA1,novel,350,0.5
M3,C,BRCA2,shared,239,0.5
M3,C,BRCA2,novel,629,0.5
M3,C,CDH1,shared,219,0.5
M3,C,CDH1,novel,301,0.5
M3,C,CFTR,shared,145,0.5
M3,C,CFTR,novel,257,0.5
M3,C,CHEK2,shared,237,0.5
M3,C,CHEK2,novel,227,0.5
M3,C,COL1A1,shared,128,0.5
M3,C,COL1A1,novel,314,0.5
M3,C,DMD,shared,197,0.5
M3,C,DMD,novel,653,0.5
M3,C,FBN1,shared,263,0.5
M3,C,FBN1,novel,566,0.5
M3,C,KCNH2,shared,151,0.5
M3,C,KCNH2,novel,223,0.5
M3,C,KCNQ1,shared,117,0.5
M3,C,KCNQ1,novel,453,0.5
M3,C,LDLR,shared,225,0.5
M3,C,LDLR,novel,171,0.5
M3,C,MEN1,shared,183,0.5
M3,C,MEN1,novel,234,0.5
M3,C,MLH1,shared,539,0.5
M3,C,MLH1,novel,650,0.5
M3,C,MSH2,shared,937,0.5
M3,C,MSH2,novel,769,0.5
M3,C,MSH6,shared,715,0.5
M3,C,MSH6,novel,556,0.5
M3,C,NF1,shared,403,0.5
M3,C,NF1,novel,732,0.5
M3,C,PALB2,shared,344,0.5
M3,C,PALB2,novel,504,0.5
M3,C,PMS2,shared,331,0.5
M3,C,PMS2,novel,392,0.5
M3,C,PTCH1,shared,290,0.5
M3,C,PTCH1,novel,583,0.5
M3,C,PTEN,shared,168,0.5
M3,C,PTEN,novel,109,0.5
M3,C,RAD51C,shared,91,0.5
M3,C,RAD51C,novel,219,0.5
M3,C,RAD51D,shared,94,0.5
M3,C,RAD51D,novel,161,0.5
M3,C,RB1,shared,151,0.5
M3,C,RB1,novel,264,0.5
M3,C,RET,shared,172,0.5
M3,C,RET,novel,428,0.5
M3,C,RYR1,shared,179,0.5
M3,C,RYR1,novel,588,0.5
M3,C,SCN5A,shared,107,0.5
M3,C,SCN5A,novel,444,0.5
M3,C,SDHB,shared,81,0.5
M3,C,SDHB,novel,125,0.5
M3,C,STK11,shared,207,0.5
M3,C,STK11,novel,265,0.5
M3,C,TP53,shared,322,0.5
M3,C,TP53,novel,197,0.5
M3,C,TSC1,shared,239,0.5
M3,C,TSC1,novel,447,0.5
M3,C,TSC2,shared,640,0.5
M3,C,TSC2,novel,1095,0.5
M3,C,VHL,shared,113,0.5
M3,C,VHL,novel,155,0.5
NT,A,APC,shared,452,0.966726318066508
NT,A,APC,novel,682,0.9730197699961235
NT,A,ATM,shared,352,0.9505764995465734
NT,A,ATM,novel,799,0.9427839839013441
NT,A,ATP7B,shared,106,0.9048128342245989
NT,A,ATP7B,novel,294,0.9160988272377509
NT,A,BRCA1,shared,503,0.939466055125265
NT,A,BRCA1,novel,656,0.9365730337078652
NT,A,BRCA2,shared,347,0.9519897772909821
NT,A,BRCA2,novel,855,0.9431798827222073
NT,A,CDH1,shared,240,0.9253824054662629
NT,A,CDH1,novel,263,0.8832054560954816
NT,A,CFTR,shared,215,0.958004768017605
NT,A,CFTR,novel,378,0.8957359240697707
NT,A,CHEK2,shared,254,0.9806346826586707
NT,A,CHEK2,novel,199,0.9360688956433637
NT,A,COL1A1,shared,143,0.9554637281910009
NT,A,COL1A1,novel,355,0.9422118682456481
NT,A,DMD,shared,280,0.9545571509443672
NT,A,DMD,novel,903,0.9285197623353139
NT,A,FBN1,shared,395,0.9588695717618725
NT,A,FBN1,novel,715,0.9495560936238903
NT,A,HBB,shared,120,0.9295774647887324
NT,A,HBB,novel,153,0.8993362831858407
NT,A,KCNH2,shared,146,0.9391891891891891
NT,A,KCNH2,novel,285,0.9348517492561814
NT,A,KCNQ1,shared,90,0.9027777777777778
NT,A,KCNQ1,novel,316,0.9334585610200364
NT,A,LDLR,shared,366,0.9391499536427073
NT,A,LDLR,novel,303,0.9399553571428572
NT,A,MECP2,shared,133,0.9478200371057514
NT,A,MECP2,novel,135,0.9054945054945055
NT,A,MEN1,shared,161,0.9431486880466472
NT,A,MEN1,novel,196,0.9301597243971187
NT,A,MLH1,shared,438,0.9494575045207957
NT,A,MLH1,novel,308,0.9570905285190999
NT,A,MSH2,shared,736,0.9373675682413063
NT,A,MSH2,novel,341,0.9146828175325584
NT,A,MSH6,shared,697,0.9595669764528634
NT,A,MSH6,novel,451,0.9433293269230769
NT,A,NF1,shared,399,0.968821144983064
NT,A,NF1,novel,732,0.9532890720390721
NT,A,PALB2,shared,342,0.9463058572191562
NT,A,PALB2,novel,357,0.9317709971689211
NT,A,PMS2,shared,307,0.9484623636688718
NT,A,PMS2,novel,280,0.9284620098039216
NT,A,PTCH1,shared,247,0.9141522988505747
NT,A,PTCH1,novel,421,0.892757189731712
NT,A,PTEN,shared,269,0.9598825831702544
NT,A,PTEN,novel,183,0.9282130912565695
NT,A,RAD51C,shared,109,0.9221664275466284
NT,A,RAD51C,novel,165,0.9340745380519887
NT,A,RAD51D,shared,88,0.861455525606469
NT,A,RAD51D,novel,118,0.8611111111111112
NT,A,RB1,shared,188,0.9451992753623188
NT,A,RB1,novel,320,0.9455551516620219
NT,A,RET,shared,139,0.8932721712538226
NT,A,RET,novel,329,0.8565573770491803
NT,A,RYR1,shared,225,0.8092365072400175
NT,A,RYR1,novel,935,0.8806426154232485
NT,A,SCN1A,shared,211,0.9344444444444444
NT,A,SCN1A,novel,459,0.8830026455026455
NT,A,SCN5A,shared,101,0.9296939619520265
NT,A,SCN5A,novel,383,0.8999125874125874
NT,A,SDHB,shared,77,0.882312925170068
NT,A,SDHB,novel,94,0.998012916045703
NT,A,SLC26A4,shared,78,0.982860909690178
NT,A,SLC26A4,novel,183,0.9099163679808842
NT,A,SMAD4,shared,104,0.977027027027027
NT,A,SMAD4,novel,186,0.9167686658506732
NT,A,STK11,shared,176,0.9168399168399168
NT,A,STK11,novel,150,0.890280864821176
NT,A,TP53,shared,317,0.9235311059907834
NT,A,TP53,novel,188,0.9114791547687036
NT,A,TSC1,shared,191,0.9473449352967426
NT,A,TSC1,novel,364,0.8677893678522056
NT,A,TSC2,shared,512,0.9208768098358003
NT,A,TSC2,novel,646,0.8710286710577295
NT,A,VHL,shared,114,0.9627463054187192
NT,A,VHL,novel,102,0.8408730158730159
NT,C,APC,shared,417,0.9271041038720148
NT,C,APC,novel,721,0.8635964574509049
NT,C,ATM,shared,371,0.9205060311856428
NT,C,ATM,novel,916,0.8510818120351589
NT,C,ATP7B,shared,84,0.8198250728862974
NT,C,ATP7B,novel,225,0.8126947679186485
NT,C,BRCA1,shared,333,0.8320073110418235
NT,C,BRCA1,novel,350,0.8204637137850943
NT,C,BRCA2,shared,239,0.8530585106382979
NT,C,BRCA2,novel,629,0.8929495031985845
NT,C,CDH1,shared,219,0.7479717813051147
NT,C,CDH1,novel,301,0.7958885941644562
NT,C,CFTR,shared,145,0.8349473684210527
NT,C,CFTR,novel,257,0.8332714904143476
NT,C,CHEK2,shared,237,0.9110738255033557
NT,C,CHEK2,novel,227,0.8788998357963875
NT,C,COL1A1,shared,128,0.896875
NT,C,COL1A1,novel,314,0.8255842259006816
NT,C,DMD,shared,197,0.8122537839518972
NT,C,DMD,novel,653,0.7299707518495154
NT,C,FBN1,shared,263,0.9180218446601942
NT,C,FBN1,novel,566,0.8621762179995719
NT,C,KCNH2,shared,151,0.7850088183421516
NT,C,KCNH2,novel,223,0.8247229326513213
NT,C,KCNQ1,shared,117,0.924025974025974
NT,C,KCNQ1,novel,453,0.8656689224362312
NT,C,LDLR,shared,225,0.9275271512113618
NT,C,LDLR,novel,171,0.8992755642240179
NT,C,MEN1,shared,183,0.8901562112571287
NT,C,MEN1,novel,234,0.7548234576374591
NT,C,MLH1,shared,539,0.869425889149666
NT,C,MLH1,novel,650,0.8115547805870387
NT,C,MSH2,shared,937,0.8882588454376164
NT,C,MSH2,novel,769,0.8442625317625317
NT,C,MSH6,shared,715,0.8889573070607554
NT,C,MSH6,novel,556,0.9279069426742261
NT,C,NF1,shared,403,0.9216414063305496
NT,C,NF1,novel,732,0.9275718494468495
NT,C,PALB2,shared,344,0.9158714031713777
NT,C,PALB2,novel,504,0.8868439591405425
NT,C,PMS2,shared,331,0.8453113553113553
NT,C,PMS2,novel,392,0.8607746607277748
NT,C,PTCH1,shared,290,0.8128475033738192
NT,C,PTCH1,novel,583,0.7628909551986475
NT,C,PTEN,shared,168,0.9397883295194508
NT,C,PTEN,novel,109,0.8593220338983051
NT,C,RAD51C,shared,91,0.8507317073170731
NT,C,RAD51C,novel,219,0.8728510638297873
NT,C,RAD51D,shared,94,0.836297309621523
NT,C,RAD51D,novel,161,0.8192640692640693
NT,C,RB1,shared,151,0.8419172932330827
