model,epoch,start_time,end_time,duration_seconds
dnabert2,1,Fri Sep 18 13:19:55 2026,Fri Sep 18 13:53:57 2026,2041.6540455818176
dnabert2,2,Fri Sep 18 13:53:57 2026,Fri Sep 18 14:27:58 2026,2040.6831526756287
dnabert2,3,Fri Sep 18 14:27:58 2026,Fri Sep 18 15:01:58 2026,2039.9484293460846
dnabert2,4,Fri Sep 18 15:01:58 2026,Fri Sep 18 15:35:57 2026,2039.7884731292725
dnabert2,5,Fri Sep 18 15:35:57 2026,Fri Sep 18 16:09:57 2026,2039.7998464107513
dnabert2,6,Fri Sep 18 16:09:57 2026,Fri Sep 18 16:43:57 2026,2039.8245306015015
dnabert2,7,Fri Sep 18 16:43:57 2026,Fri Sep 18 17:17:57 2026,2039.7892248630524
dnabert2,8,Fri Sep 18 17:17:57 2026,Fri Sep 18 17:51:57 2026,2039.808902978897
dnabert2,9,Fri Sep 18 17:51:57 2026,Fri Sep 18 18:25:56 2026,2039.7949659824371
dnabert2,10,Fri Sep 18 18:25:56 2026,Fri Sep 18 18:59:56 2026,2039.9081134796143
dnabert2,1,Sat Sep 19 10:48:27 2026,Sat Sep 19 11:22:36 2026,2049.215879917145
dnabert2,2,Sat Sep 19 11:22:36 2026,Sat Sep 19 11:56:40 2026,2043.8716452121735
dnabert2,3,Sat Sep 19 11:56:40 2026,Sat Sep 19 12:30:41 2026,2041.8391959667206
dnabert2,4,Sat Sep 19 12:30:41 2026,Sat Sep 19 13:04:43 2026,2041.9793899059296
dnabert2,5,Sat Sep 19 13:04:43 2026,Sat Sep 19 13:38:47 2026,2043.0695695877075
dnabert2,6,Sat Sep 19 13:38:47 2026,Sat Sep 19 14:12:50 2026,2043.320464849472
dnabert2,7,Sat Sep 19 14:12:50 2026,Sat Sep 19 14:46:53 2026,2043.1764154434204
dnabert2,8,Sat Sep 19 14:46:53 2026,Sat Sep 19 15:20:56 2026,2042.9415445327759
dnabert2,9,Sat Sep 19 15:20:56 2026,Sat Sep 19 15:54:59 2026,2043.264389038086
dnabert2,10,Sat Sep 19 15:54:59 2026,Sat Sep 19 16:29:03 2026,2043.8747026920319
