model,epoch,start_time,end_time,duration_seconds
dnabert2,1,Mon Sep 21 07:27:55 2026,Mon Sep 21 08:01:57 2026,2041.493684053421
dnabert2,2,Mon Sep 21 08:01:57 2026,Mon Sep 21 08:35:58 2026,2041.4271960258484
dnabert2,3,Mon Sep 21 08:35:58 2026,Mon Sep 21 09:09:59 2026,2041.118916273117
dnabert2,4,Mon Sep 21 09:09:59 2026,Mon Sep 21 09:44:01 2026,2041.1613819599152
dnabert2,5,Mon Sep 21 09:44:01 2026,Mon Sep 21 10:18:02 2026,2041.0952682495117
dnabert2,6,Mon Sep 21 10:18:02 2026,Mon Sep 21 10:52:03 2026,2041.1789100170135
dnabert2,7,Mon Sep 21 10:52:03 2026,Mon Sep 21 11:26:04 2026,2041.0906491279602
dnabert2,8,Mon Sep 21 11:26:04 2026,Mon Sep 21 12:00:05 2026,2040.959273815155
dnabert2,9,Mon Sep 21 12:00:05 2026,Mon Sep 21 12:34:06 2026,2041.2249493598938
dnabert2,10,Mon Sep 21 12:34:06 2026,Mon Sep 21 13:08:07 2026,2041.2418403625488
