model,epoch,start_time,end_time,duration_seconds
dnabert2,1,Sun Sep 20 20:00:53 2026,Sun Sep 20 20:34:56 2026,2042.9306597709656
dnabert2,2,Sun Sep 20 20:34:56 2026,Sun Sep 20 21:08:59 2026,2042.5939366817474
dnabert2,3,Sun Sep 20 21:08:59 2026,Sun Sep 20 21:43:02 2026,2042.720216035843
dnabert2,4,Sun Sep 20 21:43:02 2026,Sun Sep 20 22:17:05 2026,2043.2789344787598
dnabert2,5,Sun Sep 20 22:17:05 2026,Sun Sep 20 22:51:08 2026,2043.6492373943329
dnabert2,6,Sun Sep 20 22:51:08 2026,Sun Sep 20 23:25:30 2026,2061.2629199028015
dnabert2,7,Sun Sep 20 23:25:30 2026,Sun Sep 20 23:59:32 2026,2042.2433450222015
dnabert2,8,Sun Sep 20 23:59:32 2026,Mon Sep 21 00:33:34 2026,2042.0862228870392
dnabert2,9,Mon Sep 21 00:33:34 2026,Mon Sep 21 01:07:36 2026,2042.1507906913757
dnabert2,10,Mon Sep 21 01:07:36 2026,Mon Sep 21 01:41:38 2026,2042.1011502742767
