model,epoch,start_time,end_time,duration_seconds
dnabert2,1,Fri Sep 18 19:02:52 2026,Fri Sep 18 19:39:31 2026,2199.572279691696
dnabert2,2,Fri Sep 18 20:15:31 2026,Fri Sep 18 20:49:47 2026,2056.03879737854
dnabert2,3,Fri Sep 18 20:49:47 2026,Fri Sep 18 21:24:04 2026,2056.6093900203705
dnabert2,4,Fri Sep 18 21:24:04 2026,Fri Sep 18 21:58:20 2026,2056.767063856125
dnabert2,5,Fri Sep 18 21:58:20 2026,Fri Sep 18 22:32:38 2026,2057.6630685329437
dnabert2,6,Fri Sep 18 22:32:38 2026,Fri Sep 18 23:06:55 2026,2057.2892937660217
dnabert2,7,Fri Sep 18 23:06:55 2026,Fri Sep 18 23:41:12 2026,2057.153341293335
dnabert2,8,Fri Sep 18 23:41:12 2026,Sat Sep 19 00:15:30 2026,2057.1120450496674
dnabert2,9,Sat Sep 19 00:15:30 2026,Sat Sep 19 00:49:47 2026,2057.022165298462
dnabert2,10,Sat Sep 19 00:49:47 2026,Sat Sep 19 01:24:04 2026,2057.0314729213715
