model,epoch,start_time,end_time,duration_seconds
nt,1,Sun Sep  6 20:34:12 2026,Sun Sep  6 20:58:09 2026,1436.5186393260956
nt,2,Sun Sep  6 20:58:09 2026,Sun Sep  6 21:22:05 2026,1436.6190769672394
nt,3,Sun Sep  6 21:22:05 2026,Sun Sep  6 21:46:01 2026,1435.7295894622803
nt,4,Sun Sep  6 21:46:01 2026,Sun Sep  6 22:09:56 2026,1435.312783241272
nt,5,Sun Sep  6 22:09:56 2026,Sun Sep  6 22:33:52 2026,1435.4017944335938
nt,6,Sun Sep  6 22:33:52 2026,Sun Sep  6 22:57:47 2026,1435.2958772182465
nt,7,Sun Sep  6 22:57:47 2026,Sun Sep  6 23:26:29 2026,1721.6821155548096
nt,8,Sun Sep  6 23:26:29 2026,Sun Sep  6 23:50:40 2026,1450.9802627563477
nt,9,Sun Sep  6 23:50:40 2026,Mon Sep  7 00:14:52 2026,1452.1999905109406
nt,10,Mon Sep  7 00:14:52 2026,Mon Sep  7 00:39:04 2026,1451.8723645210266
