model,epoch,start_time,end_time,duration_seconds
nt,1,Sat Sep 19 17:10:10 2026,Sat Sep 19 17:34:08 2026,1438.3547186851501
nt,2,Sat Sep 19 17:34:08 2026,Sat Sep 19 17:59:05 2026,1496.9133241176605
nt,3,Sat Sep 19 17:59:05 2026,Sat Sep 19 18:23:07 2026,1441.6652953624725
nt,4,Sat Sep 19 18:23:07 2026,Sat Sep 19 18:47:03 2026,1436.4012870788574
nt,5,Sat Sep 19 18:47:03 2026,Sat Sep 19 19:10:57 2026,1433.9529008865356
nt,6,Sat Sep 19 19:10:57 2026,Sat Sep 19 19:34:51 2026,1433.7290921211243
nt,7,Sat Sep 19 19:34:51 2026,Sat Sep 19 19:58:45 2026,1433.8604662418365
nt,8,Sat Sep 19 19:58:45 2026,Sat Sep 19 20:22:39 2026,1433.9463903903961
nt,9,Sat Sep 19 20:22:39 2026,Sat Sep 19 20:46:33 2026,1433.9476897716522
nt,10,Sat Sep 19 20:46:33 2026,Sat Sep 19 21:10:27 2026,1433.9993097782135
