model,epoch,start_time,end_time,duration_seconds
nt,1,Sat Sep 19 22:03:54 2026,Sat Sep 19 22:27:50 2026,1436.187745809555
nt,2,Sat Sep 19 22:27:50 2026,Sat Sep 19 22:51:45 2026,1435.1375918388367
nt,3,Sat Sep 19 22:51:45 2026,Sat Sep 19 23:15:40 2026,1435.0803697109222
nt,4,Sat Sep 19 23:15:40 2026,Sat Sep 19 23:39:35 2026,1435.278352022171
nt,5,Sat Sep 19 23:39:35 2026,Sun Sep 20 00:03:30 2026,1435.1922976970673
nt,6,Sun Sep 20 00:03:30 2026,Sun Sep 20 00:27:26 2026,1435.4150931835175
nt,7,Sun Sep 20 00:27:26 2026,Sun Sep 20 00:51:21 2026,1435.4173693656921
nt,8,Sun Sep 20 00:51:21 2026,Sun Sep 20 01:15:17 2026,1435.4304292201996
nt,9,Sun Sep 20 01:15:17 2026,Sun Sep 20 01:39:12 2026,1435.3534462451935
nt,10,Sun Sep 20 01:39:12 2026,Sun Sep 20 02:03:07 2026,1435.3867740631104
