gene,variant_count
APC,5804
BRCA2,5804
BRCA1,5804
ATM,5804
FBN1,5804
DMD,5804
TSC2,5804
NF1,5804
MSH6,5683
RYR1,5675
MSH2,5321
MLH1,3774
PALB2,3577
PTCH1,3327
PKD1,3289
SCN1A,3203
LDLR,3099
CFTR,3090
PMS2,2890
TSC1,2800
NOTCH1,2735
CDH1,2673
COL1A1,2570
TP53,2555
RB1,2433
ALK,2424
SCN5A,2336
CHEK2,2270
PTEN,2210
ATP7B,2181
RET,2122
MET,1988
KCNH2,1983
KCNQ1,1968
EGFR,1807
CACNA1S,1757
STK11,1724
MEN1,1709
COL1A2,1611
LRRK2,1580
KIT,1563
SMAD4,1352
SLC26A4,1345
HBB,1321
MECP2,1310
PAH,1283
RAD51C,1204
NF2,1176
RAD51D,1090
NTRK1,1079
VHL,1072
ARID1A,941
WT1,899
SUFU,880
SDHB,842
PIK3CA,814
HEXA,812
BRAF,807
VWF,789
OTC,758
PKD2,751
F8,740
RUNX1,734
CDKN2A,663
GALT,644
UBE3A,578
CTNNB1,542
ABL1,521
F9,505
SDHD,453
GJB2,439
EZH2,422
HTT,422
NTRK2,411
HRAS,390
ERBB2,386
EPCAM,382
SERPINA1,365
MPZ,361
ASPA,348
ETV6,339
KRAS,307
GBA1,247
PMP22,234
JAK2,213
HFE,200
IDH1,191
NRAS,159
FLT3,135
IDH2,123
FMR1,104
SMN1,103
FBXW7,101
ROS1,76
NTRK3,65
BCR,58
NPM1,33
PML,27
MYC,14
RARA,8
