Split,Gene,n shared,shared path.,shared benign,n novel,novel path.,novel benign
C,APC,417,190,227,721,371,350
C,ATM,371,206,165,916,510,406
C,ATP7B,84,49,35,225,134,91
C,BRCA1,333,262,71,350,253,97
C,BRCA2,239,192,47,629,474,155
C,CDH1,219,84,135,301,156,145
C,CFTR,145,95,50,257,147,110
C,CHEK2,237,149,88,227,140,87
C,COL1A1,128,80,48,314,158,156
C,DMD,197,91,106,653,282,371
C,FBN1,263,160,103,566,309,257
C,KCNH2,151,70,81,223,85,138
C,KCNQ1,117,77,40,453,113,340
C,LDLR,225,168,57,171,97,74
C,MEN1,183,74,109,234,93,141
C,MLH1,539,191,348,650,185,465
C,MSH2,937,400,537,769,288,481
C,MSH6,715,435,280,556,373,183
C,NF1,403,244,159,732,396,336
C,PALB2,344,217,127,504,334,170
C,PMS2,331,175,156,392,201,191
C,PTCH1,290,95,195,583,245,338
C,PTEN,168,92,76,109,59,50
C,RAD51C,91,50,41,219,125,94
C,RAD51D,94,43,51,161,77,84
C,RB1,151,56,95,264,98,166
C,RET,172,58,114,428,185,243
C,RYR1,179,56,123,588,231,357
C,SCN5A,107,44,63,444,238,206
C,SDHB,81,36,45,125,47,78
C,STK11,207,74,133,265,135,130
C,TP53,322,198,124,197,72,125
C,TSC1,239,96,143,447,236,211
C,TSC2,640,220,420,1095,524,571
C,VHL,113,54,59,155,71,84
